instrument_id,local_symbol,live_symbol
1308,UAS.MI,US.MI
1309,WDFC.MI,WDF.MI
1310,YNG.MI,YNAP.MI
1311,ABERTI,ABE.MC
1312,AB.LS,ABG-P.MC
1313,ACS,ACS.MC
1314,AIH-.LS,AMS.MC
1315,ACCION,ANA.MC
1316,BBVA,BBVA.MC
1317,BS.LS,BKIA.MC
1318,BANKIN,BKT.MC
1319,BYM.LS,BME.MC
1320,CAIXAB,CABK.MC
1321,DID.LS,DIA.MC
1322,ENDESA,ELE.MC
1323,ENAGAS,ENG.MC
1324,FDC.LS,FCC.MC
1325,FN.LS,FER.MC
1326,SIE.DE_1326,SGRE.MC
1327,NEGS.LS,NTGY.MC
1328,GS.LS,GRF.MC
1329,RI,RDDT
1330,IBERDR,IBE.MC
1331,ISS.LS,IDR.MC
1332,IDD.LS,ITX.MC
1333,JAZZTE,JAZ.MC
1334,MAPFRE,MAP.MC
1336,OHL,OHLA.MC
1338,REC.LS,RED.MC
1339,REPSOL,REP.MC
1340,BS.LS_1340,SAB.MC
1341,GVL,GEV
1342,SACYR,SCYR.MC
1343,KI,KVYO
1344,ME.LS,TL5.MC
1345,TR.LS,TRE.MC
1346,GO,OGZDL.L
1347,KEPJ,KMGL.L
1349,LO,LKOD.L
1350,MP,MGNTL.L
1351,MO,MFONL.L
1352,MNNO,MNODL.L
1354,PO,PHORL.L
1355,SHP,SLNAF
1356,ARL,ARBE
1357,RO,ROSNL.L
1358,SOR,SBERL.L
1359,SP,SVSTL.L
1360,SO,SGGD.L
1361,TO,ATADL.L
1362,UP,URKAL.L
1363,OTL,ODD
1364,VAL,VFS
1365,AHP,ARM
